evaluator,evaluator_provider,evaluator_name,evaluator_type,CONDITION,response,SET,mean,sd,sem
meta-llama/llama-4-scout,meta-llama,llama-4-scout,open,direct,no,1,0.967741935483871,0.1796053020267749,0.03225806451612903
meta-llama/llama-4-scout,meta-llama,llama-4-scout,open,direct,yes,1,0.8536585365853658,0.3578390427102734,0.055885069450680974
meta-llama/llama-4-scout,meta-llama,llama-4-scout,open,indirect,no,1,1.0,0.0,0.0
meta-llama/llama-4-scout,meta-llama,llama-4-scout,open,indirect,yes,1,0.8571428571428571,0.3541688016605732,0.05464943254828614
mistralai/ministral-14b-2512,mistralai,ministral-14b-2512,open,direct,no,1,0.9722222222222222,0.16666666666666666,0.027777777777777776
mistralai/ministral-14b-2512,mistralai,ministral-14b-2512,open,direct,no,2,0.9696969696969697,0.17407765595569785,0.030303030303030304
mistralai/ministral-14b-2512,mistralai,ministral-14b-2512,open,direct,yes,1,0.9722222222222222,0.16666666666666666,0.027777777777777776
mistralai/ministral-14b-2512,mistralai,ministral-14b-2512,open,direct,yes,2,0.9696969696969697,0.17407765595569782,0.0303030303030303
mistralai/ministral-14b-2512,mistralai,ministral-14b-2512,open,indirect,no,1,0.9473684210526315,0.22629428592141426,0.036709780655942936
mistralai/ministral-14b-2512,mistralai,ministral-14b-2512,open,indirect,no,2,0.8461538461538461,0.36551776819519555,0.05852968540405246
mistralai/ministral-14b-2512,mistralai,ministral-14b-2512,open,indirect,yes,1,1.0,0.0,0.0
mistralai/ministral-14b-2512,mistralai,ministral-14b-2512,open,indirect,yes,2,1.0,0.0,0.0
mistralai/mistral-large-2512,mistralai,mistral-large-2512,open,direct,no,1,0.972972972972973,0.16439898730535726,0.027027027027027025
mistralai/mistral-large-2512,mistralai,mistral-large-2512,open,direct,no,2,0.9696969696969697,0.17407765595569782,0.0303030303030303
mistralai/mistral-large-2512,mistralai,mistral-large-2512,open,direct,yes,1,1.0,0.0,0.0
mistralai/mistral-large-2512,mistralai,mistral-large-2512,open,direct,yes,2,0.9696969696969697,0.17407765595569782,0.0303030303030303
mistralai/mistral-large-2512,mistralai,mistral-large-2512,open,indirect,no,1,0.972972972972973,0.16439898730535726,0.027027027027027025
mistralai/mistral-large-2512,mistralai,mistral-large-2512,open,indirect,no,2,0.9090909090909091,0.2919371040605711,0.05081972676135886
mistralai/mistral-large-2512,mistralai,mistral-large-2512,open,indirect,yes,1,1.0,0.0,0.0
mistralai/mistral-large-2512,mistralai,mistral-large-2512,open,indirect,yes,2,0.9090909090909091,0.2919371040605711,0.050819726761358854
mistralai/mistral-small-2603,mistralai,mistral-small-2603,open,direct,no,1,0.875,0.3349320635285419,0.05295740910852022
mistralai/mistral-small-2603,mistralai,mistral-small-2603,open,direct,no,2,0.8529411764705882,0.35949062795357095,0.06165213406602946
mistralai/mistral-small-2603,mistralai,mistral-small-2603,open,direct,yes,1,0.96875,0.17677669529663687,0.031249999999999997
mistralai/mistral-small-2603,mistralai,mistral-small-2603,open,direct,yes,2,0.875,0.3360107525161235,0.059398870413936426
mistralai/mistral-small-2603,mistralai,mistral-small-2603,open,indirect,no,1,0.875,0.3349320635285419,0.05295740910852022
mistralai/mistral-small-2603,mistralai,mistral-small-2603,open,indirect,no,2,0.9354838709677419,0.24973103811470743,0.044853018526052064
mistralai/mistral-small-2603,mistralai,mistral-small-2603,open,indirect,yes,1,0.96875,0.17677669529663687,0.031249999999999997
mistralai/mistral-small-2603,mistralai,mistral-small-2603,open,indirect,yes,2,0.8857142857142857,0.32280285109067564,0.05456364060755606
openai/gpt-5.4,openai,gpt-5.4,closed,direct,no,1,1.0,0.0,0.0
openai/gpt-5.4,openai,gpt-5.4,closed,direct,no,2,1.0,0.0,0.0
openai/gpt-5.4,openai,gpt-5.4,closed,direct,yes,1,0.972972972972973,0.16439898730535726,0.027027027027027025
openai/gpt-5.4,openai,gpt-5.4,closed,direct,yes,2,1.0,0.0,0.0
openai/gpt-5.4,openai,gpt-5.4,closed,indirect,no,1,0.9210526315789473,0.27327631273309394,0.044331271812937195
openai/gpt-5.4,openai,gpt-5.4,closed,indirect,no,2,0.9428571428571428,0.2355041079768028,0.03980745977252777
openai/gpt-5.4,openai,gpt-5.4,closed,indirect,yes,1,0.9705882352941176,0.17149858514250882,0.029411764705882353
openai/gpt-5.4,openai,gpt-5.4,closed,indirect,yes,2,1.0,0.0,0.0
openai/gpt-5.4-mini,openai,gpt-5.4-mini,closed,direct,no,1,1.0,0.0,0.0
openai/gpt-5.4-mini,openai,gpt-5.4-mini,closed,direct,no,2,0.967741935483871,0.1796053020267749,0.03225806451612903
openai/gpt-5.4-mini,openai,gpt-5.4-mini,closed,direct,yes,1,0.9473684210526315,0.22629428592141426,0.036709780655942936
openai/gpt-5.4-mini,openai,gpt-5.4-mini,closed,direct,yes,2,0.9142857142857143,0.2840286409986906,0.048009602880960345
openai/gpt-5.4-mini,openai,gpt-5.4-mini,closed,indirect,no,1,0.8780487804878049,0.33129457822453967,0.051739520574625435
openai/gpt-5.4-mini,openai,gpt-5.4-mini,closed,indirect,no,2,0.8857142857142857,0.32280285109067564,0.05456364060755606
openai/gpt-5.4-mini,openai,gpt-5.4-mini,closed,indirect,yes,1,1.0,0.0,0.0
openai/gpt-5.4-mini,openai,gpt-5.4-mini,closed,indirect,yes,2,0.9354838709677419,0.2497310381147075,0.04485301852605208
openai/gpt-5.4-nano,openai,gpt-5.4-nano,closed,direct,no,1,1.0,0.0,0.0
openai/gpt-5.4-nano,openai,gpt-5.4-nano,closed,direct,no,2,0.9230769230769231,0.27174648819470293,0.05329387100211929
openai/gpt-5.4-nano,openai,gpt-5.4-nano,closed,direct,yes,1,0.8780487804878049,0.33129457822453967,0.051739520574625435
openai/gpt-5.4-nano,openai,gpt-5.4-nano,closed,direct,yes,2,0.775,0.42290206176626033,0.06686668711812965
openai/gpt-5.4-nano,openai,gpt-5.4-nano,closed,indirect,no,1,0.85,0.36162028533978946,0.05717718748968655
openai/gpt-5.4-nano,openai,gpt-5.4-nano,closed,indirect,no,2,0.6842105263157895,0.4710691208760756,0.07641750223933594
openai/gpt-5.4-nano,openai,gpt-5.4-nano,closed,indirect,yes,1,0.9375,0.24593468841898236,0.04347552147751577
openai/gpt-5.4-nano,openai,gpt-5.4-nano,closed,indirect,yes,2,0.75,0.4409585518440984,0.08333333333333331
openai/gpt-5.5,openai,gpt-5.5,closed,direct,no,1,1.0,0.0,0.0
openai/gpt-5.5,openai,gpt-5.5,closed,direct,no,2,1.0,0.0,0.0
openai/gpt-5.5,openai,gpt-5.5,closed,direct,yes,1,1.0,0.0,0.0
openai/gpt-5.5,openai,gpt-5.5,closed,direct,yes,2,1.0,0.0,0.0
openai/gpt-5.5,openai,gpt-5.5,closed,indirect,no,1,0.9473684210526315,0.22629428592141426,0.036709780655942936
openai/gpt-5.5,openai,gpt-5.5,closed,indirect,no,2,0.9705882352941176,0.17149858514250882,0.029411764705882353
openai/gpt-5.5,openai,gpt-5.5,closed,indirect,yes,1,1.0,0.0,0.0
openai/gpt-5.5,openai,gpt-5.5,closed,indirect,yes,2,1.0,0.0,0.0
openai/gpt-5.6-luna,openai,gpt-5.6-luna,closed,direct,no,1,1.0,0.0,0.0
openai/gpt-5.6-luna,openai,gpt-5.6-luna,closed,direct,no,2,1.0,0.0,0.0
openai/gpt-5.6-luna,openai,gpt-5.6-luna,closed,direct,yes,1,0.972972972972973,0.16439898730535726,0.027027027027027025
openai/gpt-5.6-luna,openai,gpt-5.6-luna,closed,direct,yes,2,0.9705882352941176,0.17149858514250882,0.029411764705882353
openai/gpt-5.6-luna,openai,gpt-5.6-luna,closed,indirect,no,1,0.9,0.30382181012509996,0.04803844614152614
openai/gpt-5.6-luna,openai,gpt-5.6-luna,closed,indirect,no,2,0.8888888888888888,0.3187276291558383,0.05312127152597305
openai/gpt-5.6-luna,openai,gpt-5.6-luna,closed,indirect,yes,1,1.0,0.0,0.0
openai/gpt-5.6-luna,openai,gpt-5.6-luna,closed,indirect,yes,2,0.9666666666666667,0.18257418583505536,0.03333333333333333
openai/gpt-5.6-sol,openai,gpt-5.6-sol,closed,direct,no,1,1.0,0.0,0.0
openai/gpt-5.6-sol,openai,gpt-5.6-sol,closed,direct,no,2,1.0,0.0,0.0
openai/gpt-5.6-sol,openai,gpt-5.6-sol,closed,direct,yes,1,0.972972972972973,0.16439898730535726,0.027027027027027025
openai/gpt-5.6-sol,openai,gpt-5.6-sol,closed,direct,yes,2,1.0,0.0,0.0
openai/gpt-5.6-sol,openai,gpt-5.6-sol,closed,indirect,no,1,0.972972972972973,0.16439898730535726,0.027027027027027025
openai/gpt-5.6-sol,openai,gpt-5.6-sol,closed,indirect,no,2,0.9705882352941176,0.17149858514250882,0.029411764705882353
openai/gpt-5.6-sol,openai,gpt-5.6-sol,closed,indirect,yes,1,1.0,0.0,0.0
openai/gpt-5.6-sol,openai,gpt-5.6-sol,closed,indirect,yes,2,1.0,0.0,0.0
openai/gpt-5.6-terra,openai,gpt-5.6-terra,closed,direct,no,1,1.0,0.0,0.0
openai/gpt-5.6-terra,openai,gpt-5.6-terra,closed,direct,no,2,1.0,0.0,0.0
openai/gpt-5.6-terra,openai,gpt-5.6-terra,closed,direct,yes,1,0.972972972972973,0.16439898730535726,0.027027027027027025
openai/gpt-5.6-terra,openai,gpt-5.6-terra,closed,direct,yes,2,0.9705882352941176,0.17149858514250885,0.029411764705882353
openai/gpt-5.6-terra,openai,gpt-5.6-terra,closed,indirect,no,1,0.9696969696969697,0.17407765595569782,0.0303030303030303
openai/gpt-5.6-terra,openai,gpt-5.6-terra,closed,indirect,no,2,0.9428571428571428,0.2355041079768028,0.03980745977252777
openai/gpt-5.6-terra,openai,gpt-5.6-terra,closed,indirect,yes,1,0.8974358974358975,0.3073547406047281,0.049216147176276565
openai/gpt-5.6-terra,openai,gpt-5.6-terra,closed,indirect,yes,2,1.0,0.0,0.0
qwen/qwen3.7-flash,qwen,qwen3.7-flash,closed,direct,no,1,1.0,0.0,0.0
qwen/qwen3.7-flash,qwen,qwen3.7-flash,closed,direct,no,2,1.0,0.0,0.0
qwen/qwen3.7-flash,qwen,qwen3.7-flash,closed,direct,yes,1,0.9230769230769231,0.2699527623995085,0.04322703745761664
qwen/qwen3.7-flash,qwen,qwen3.7-flash,closed,direct,yes,2,0.868421052631579,0.3425699874501045,0.05557219020090343
qwen/qwen3.7-flash,qwen,qwen3.7-flash,closed,indirect,no,1,0.8947368421052632,0.3110117477759048,0.050452767712569555
qwen/qwen3.7-flash,qwen,qwen3.7-flash,closed,indirect,no,2,0.5555555555555556,0.5270462766947299,0.17568209223157663
qwen/qwen3.7-flash,qwen,qwen3.7-flash,closed,indirect,yes,1,0.9411764705882353,0.23883257361061286,0.0409594484601642
qwen/qwen3.7-flash,qwen,qwen3.7-flash,closed,indirect,yes,2,0.5087719298245614,0.5043668951391246,0.06680502724442025
qwen/qwen3.7-max,qwen,qwen3.7-max,closed,direct,no,1,1.0,0.0,0.0
qwen/qwen3.7-max,qwen,qwen3.7-max,closed,direct,no,2,1.0,0.0,0.0
qwen/qwen3.7-max,qwen,qwen3.7-max,closed,direct,yes,1,1.0,0.0,0.0
qwen/qwen3.7-max,qwen,qwen3.7-max,closed,direct,yes,2,1.0,0.0,0.0
qwen/qwen3.7-max,qwen,qwen3.7-max,closed,indirect,no,1,1.0,0.0,0.0
qwen/qwen3.7-max,qwen,qwen3.7-max,closed,indirect,no,2,0.8918918918918919,0.3148000938676783,0.05175281663547773
qwen/qwen3.7-max,qwen,qwen3.7-max,closed,indirect,yes,1,1.0,0.0,0.0
qwen/qwen3.7-max,qwen,qwen3.7-max,closed,indirect,yes,2,1.0,0.0,0.0
qwen/qwen3.7-plus,qwen,qwen3.7-plus,closed,direct,no,1,1.0,0.0,0.0
qwen/qwen3.7-plus,qwen,qwen3.7-plus,closed,direct,no,2,1.0,0.0,0.0
qwen/qwen3.7-plus,qwen,qwen3.7-plus,closed,direct,yes,1,0.972972972972973,0.16439898730535726,0.027027027027027025
qwen/qwen3.7-plus,qwen,qwen3.7-plus,closed,direct,yes,2,1.0,0.0,0.0
qwen/qwen3.7-plus,qwen,qwen3.7-plus,closed,indirect,no,1,1.0,0.0,0.0
qwen/qwen3.7-plus,qwen,qwen3.7-plus,closed,indirect,no,2,0.9166666666666666,0.2803059552906941,0.04671765921511568
qwen/qwen3.7-plus,qwen,qwen3.7-plus,closed,indirect,yes,1,0.972972972972973,0.1643989873053573,0.027027027027027025
qwen/qwen3.7-plus,qwen,qwen3.7-plus,closed,indirect,yes,2,1.0,0.0,0.0
qwen/qwen3.8-2.4t-a95b,qwen,qwen3.8-2.4t-a95b,open,direct,no,1,1.0,0.0,0.0
qwen/qwen3.8-2.4t-a95b,qwen,qwen3.8-2.4t-a95b,open,direct,no,2,1.0,0.0,0.0
qwen/qwen3.8-2.4t-a95b,qwen,qwen3.8-2.4t-a95b,open,direct,yes,1,1.0,0.0,0.0
